ledger_row_id,source_model,source_model_slug,inferred_provider,provider_mapping_rule,provider_mapping_confidence,canonical_model_guess,model_mapping_rule,model_mapping_confidence,pricing_provider,pricing_model,pricing_subscription_usd_month,pricing_input_usd_per_mtok,pricing_output_usd_per_mtok,pricing_cache_write_usd_per_mtok,pricing_cache_read_usd_per_mtok,pricing_tool_input_usd_per_mtok,pricing_tool_output_usd_per_mtok,benchmark_input_usd_per_mtok,benchmark_output_usd_per_mtok,benchmark_rows_total,benchmark_rows_non_missing,benchmark_rows_missing,benchmark_prior_rows_total,benchmark_prior_rows_non_missing,benchmark_prior_rows_missing,benchmark_distinct_total,benchmark_distinct_non_missing,pricing_vs_benchmark_input_delta,pricing_vs_benchmark_output_delta
1,Claude Haiku 4.5,claude-haiku-4-5,claude,prefix:claude,99,claude-haiku-4-5,unmapped,0,,,,,,,,,,,,59,0,59,57,0,57,57,0,,
2,Claude Opus 4.5,claude-opus-4-5,claude,prefix:claude,99,claude-opus-4-5,unmapped,0,,,,,,,,,,,,59,46,13,57,46,11,57,45,,
3,Claude Opus 4.6 (Thinking: Max),claude-opus-4-6-thinking-max,claude,prefix:claude,99,claude-opus-4-6-thinking-max,unmapped,0,,,,,,,,,,,,59,34,25,57,34,23,57,33,,
4,Claude Sonnet 4.5,claude-sonnet-4-5,claude,prefix:claude,99,claude-sonnet-4-5,pricing:model_exact,100,claude,claude-sonnet-4-5,30,3,15,3.75,0.3,3,15,3,15,59,38,21,57,36,21,57,36,0,0
5,Claude Sonnet 4.6 (Thinking: Max),claude-sonnet-4-6-thinking-max,claude,prefix:claude,99,claude-sonnet-4-6-thinking-max,unmapped,0,,,,,,,,,,3,15,59,18,41,57,16,41,57,17,,
6,DeepSeek V3.2,deepseek-v3-2,deepseek,prefix:deepseek,95,deepseek-v3-2,unmapped,0,,,,,,,,,,,,59,22,37,57,22,35,57,21,,
7,DeepSeek V3.2 Speciale,deepseek-v3-2-speciale,deepseek,prefix:deepseek,95,deepseek-v3-2-speciale,unmapped,0,,,,,,,,,,,,59,9,50,57,9,48,57,9,,
8,Devstral 2,devstral-2,mistral,prefix:devstral,95,devstral-2,unmapped,0,,,,,,,,,,,,59,0,59,57,0,57,57,0,,
9,Gemini 2.5 Flash Thinking,gemini-2-5-flash-thinking,google,prefix:gemini,95,gemini-2-5-flash-thinking,unmapped,0,,,,,,,,,,0.3,2.5,59,25,34,57,23,34,57,24,,
10,Gemini 2.5 Pro Thinking,gemini-2-5-pro-thinking,google,prefix:gemini,95,gemini-2-5-pro-thinking,unmapped,0,,,,,,,,,,1.25,10,59,24,35,57,22,35,57,24,,
